,R2,mse,Pr,Sp,D2,Ci,mape,n_rmse,Kn,analysis_sp,analysis_type
0,0.28005759914407957,0.1276039003621724,0.5306913750049931,0.35087250784677304,0.10514957995178242,0.6212728429970624,16.2041175264128,0.1984343708176514,0.24433140198514783,TBpcf,Abundance_codon
1,0.336313434305737,0.1256357797033224,0.5828125420159436,0.397603530045928,0.13170741686287546,0.6372399158685114,15.567100145095086,0.19624719969330842,0.27634399041789,TBpcf,Abundance_codon
2,0.27856791051854757,0.13322545265897967,0.5289632220496266,0.3794570457467966,0.11451099757485916,0.6307087301438862,16.005593163647962,0.20160134452765754,0.26261877997280597,TBpcf,Abundance_codon
3,0.2956173873238749,0.12979054945006022,0.5438833978994373,0.36347983152962376,0.12219207562695267,0.6258449847283551,15.709895708759497,0.1988133952386616,0.253372129904745,TBpcf,Abundance_codon
4,0.32244948367145776,0.1332705991776082,0.568204676901771,0.3724318829567888,0.1312877681957203,0.6289421049081803,16.12613696105364,0.2005564567349091,0.2588229156924454,TBpcf,Abundance_codon
5,0.3478012457256833,0.12295160972459197,0.5899278680688512,0.39246877493932913,0.14073233480650937,0.6363653882013012,15.609395103487293,0.19274313407553584,0.2746351274393035,TBpcf,Abundance_codon
6,0.31053317595728214,0.12500672525530593,0.5580273536477062,0.3912713808263324,0.12465244413424892,0.6353707050801386,15.461059974258202,0.19604334745287946,0.2763101646988268,TBpcf,Abundance_codon
7,0.3354960765542262,0.13318988443999638,0.585118869659405,0.39586115375740594,0.13380070215463657,0.6373875597164105,16.10527701477413,0.2008005593850202,0.2768674786167639,TBpcf,Abundance_codon
8,0.34128688334701784,0.1417583209377657,0.5857323296643286,0.40595871562070884,0.14212705814066773,0.6406626459931274,16.128370756177187,0.2052046079215555,0.28379801124708043,TBpcf,Abundance_codon
9,0.3312158110663549,0.1381296161782752,0.5782468716476796,0.35995747222414637,0.1297926474995904,0.624111515596688,16.279092298319654,0.20381815658701474,0.25118538219369735,TBpcf,Abundance_codon
10,0.37674514707466944,0.12447348510055992,0.622568275524931,0.39568931166820664,0.14527130981516834,0.6372614531668613,16.06478774587145,0.19504931798347325,0.2763851346201042,TBpcf,Abundance_codon
11,0.3264763448811312,0.12607233451634203,0.5744159074320891,0.4162675394454149,0.1384442353370875,0.6450548379289961,15.342683711043678,0.19515772242307994,0.29403611190153234,TBpcf,Abundance_codon
12,0.3502639330848014,0.12774670086727663,0.5945899196348124,0.40268607811361046,0.13675571121855756,0.6396937509528837,15.929859868621389,0.196104578205194,0.2799837672840494,TBpcf,Abundance_codon
13,0.2784676178340373,0.12994874294622774,0.5311012037358228,0.3941641341982869,0.10871386226735458,0.6352409145190296,15.778199049582845,0.19859763516921497,0.2751518715192997,TBpcf,Abundance_codon
14,0.3359307466487418,0.1194447651850586,0.5822014942081201,0.35065187743720283,0.11182623352679388,0.6207230751181293,16.148993453119914,0.19233464250322227,0.24351147382425561,TBpcf,Abundance_codon
15,0.3177966632215985,0.1334215338709876,0.564996912234756,0.38133384966238904,0.1242740217541759,0.6315583198866911,16.152451560552173,0.20138506021607772,0.2663798257244428,TBpcf,Abundance_codon
16,0.28328705202472393,0.13434606539244975,0.5323286872921803,0.38464780826944506,0.1119712982308868,0.6330869012985291,16.386051527452857,0.2021258094796455,0.26816872336403064,TBpcf,Abundance_codon
17,0.34898020377158967,0.13045566065481706,0.5933241720117346,0.3911195980277684,0.13471766609610136,0.6354775414153746,15.651329706459663,0.19791513062317745,0.27522093455414004,TBpcf,Abundance_codon
18,0.2570604593794793,0.13751602184019876,0.5089556841712228,0.4005210214822936,0.10119491622866683,0.638292693018118,16.23622103903451,0.2059196345023084,0.27703142760082483,TBpcf,Abundance_codon
19,0.31789130022461853,0.13651125723839796,0.5660015061841636,0.38427528612343914,0.13159633754549804,0.6329627784475121,15.872251435029284,0.2023508724566188,0.26856382990263167,TBpcf,Abundance_codon
20,0.3271348661117194,0.1285957321399418,0.5728217911983082,0.3818291807436209,0.12673117187799066,0.6319488251120364,15.576248771590299,0.1972529373008675,0.26514601021982437,TBpcf,Abundance_codon
21,0.3661222913776442,0.12743052329873206,0.6085048367385243,0.4110784631333396,0.14280732222135972,0.6424553426952568,16.020519425796763,0.19670066211823675,0.28613495367412806,TBpcf,Abundance_codon
22,0.36028750433733014,0.12744575354568136,0.6049855452389952,0.42141544800086095,0.13798342387847784,0.6468251471762618,15.994268804990023,0.197159198835353,0.29495646538772025,TBpcf,Abundance_codon
23,0.31572851882187447,0.12925452243017876,0.5623221025295638,0.39097732812133923,0.12319064542578317,0.6353415163731643,15.667532296589803,0.19761914793550572,0.2715440245058907,TBpcf,Abundance_codon
24,0.3258486648487553,0.13635802668736632,0.5724907067120788,0.39897647491551685,0.12960321793610619,0.6381665864685688,16.209240934550643,0.20409167849565302,0.278159106633988,TBpcf,Abundance_codon
25,0.3787258239063609,0.12698656535797634,0.6232319791028903,0.42716339011085375,0.15762148970515721,0.6484242915787463,15.51124965001046,0.1947009795459493,0.29842582948391694,TBpcf,Abundance_codon
26,0.30144637868137825,0.12848233511635176,0.5499979615326629,0.382393574901908,0.12560597177669797,0.6318173342378999,15.524982610407944,0.19839912075311647,0.2652073089285477,TBpcf,Abundance_codon
27,0.3417821003434368,0.1297516856961749,0.5952389593400853,0.41894302147213186,0.13819325872947474,0.6461382207130999,15.816548544990242,0.19896112135486596,0.2946038874709763,TBpcf,Abundance_codon
28,0.3331567383300844,0.12434165826363225,0.5792403300474789,0.4007480063949057,0.13544270070212494,0.6392451516990945,15.492699915372743,0.19472473605750779,0.281755580308179,TBpcf,Abundance_codon
29,0.3385442986905983,0.1263957587837143,0.5861009825141895,0.39517351360580016,0.1360828673313641,0.6372350983149331,15.503376309599584,0.19535130174973153,0.27667584386359745,TBpcf,Abundance_codon
30,0.3014942600375735,0.12880734771162783,0.5493505214758583,0.3682345144431347,0.11621379455896619,0.6272568113122959,16.07457263699349,0.1980814499913321,0.25812975017104745,TBpcf,Abundance_codon
31,0.34477991759068993,0.14072351315498097,0.5894755201455547,0.3968201935696349,0.13868852933117892,0.6376114342650482,16.355205167173295,0.20505413655324803,0.2786017258383387,TBpcf,Abundance_codon
32,0.35271396881655337,0.13515694701245418,0.6003818181958783,0.39749698498561753,0.12746082008398718,0.6378775332538721,16.40869855544947,0.20382125288189293,0.27688143549217775,TBpcf,Abundance_codon
33,0.3567210855899807,0.1256824357911773,0.5999703418335596,0.3778286560287485,0.14692175227126225,0.6314160603633796,15.50512420481186,0.19504041157346627,0.2639327762166444,TBpcf,Abundance_codon
34,0.3124681094376338,0.13396602201756252,0.559111830841317,0.39401749490058796,0.12120046273995722,0.6363356327233177,15.938527212238807,0.20204030808369935,0.2748228905084135,TBpcf,Abundance_codon
35,0.32517381012728297,0.1388686078323731,0.5711958731770916,0.40680548666833377,0.13452884904032536,0.6411883261041691,16.10397226613644,0.20485593658845905,0.285768991649283,TBpcf,Abundance_codon
36,0.34261396680856404,0.1300299579204531,0.5901175960767172,0.41182068013571155,0.13445780185845924,0.6428050404079391,15.840847699387739,0.19966911851820643,0.28953959910287624,TBpcf,Abundance_codon
37,0.36420896587054685,0.13223496998478523,0.6097876459908865,0.4154804357529531,0.15045621914278318,0.6442426550727989,15.856855211569057,0.20023771541264518,0.29160187943958826,TBpcf,Abundance_codon
38,0.2605501850785946,0.1347130193231532,0.5107310179014752,0.3622676007508347,0.09543549563776088,0.6244952195699228,16.167538946472362,0.20325480893753733,0.2516861667427325,TBpcf,Abundance_codon
39,0.31997393035353006,0.12399713289345214,0.5703161899339265,0.4058924937523006,0.13309220503069596,0.6400842561782291,15.261115779357409,0.19419194981915697,0.2840854709238632,TBpcf,Abundance_codon
40,0.3223346103656993,0.13996126438043438,0.570526999418721,0.37106746748437747,0.1262273365855574,0.628390920101724,16.24699195644125,0.20508624624998198,0.2593585601783504,TBpcf,Abundance_codon
41,0.3245465679488462,0.13010739858059273,0.5713232116142912,0.3771928852045531,0.12491486513494321,0.6305710047886482,16.204620526586204,0.19968929364765203,0.2626222189103076,TBpcf,Abundance_codon
42,0.3686377203010468,0.12020811167584791,0.6115993238124945,0.3937166631820896,0.14633220969526306,0.6364892276668135,15.445998995443198,0.19198301884182642,0.2746832537424169,TBpcf,Abundance_codon
43,0.34660738165321736,0.12985384178798462,0.5963467147049364,0.42872693226213426,0.13656378552263493,0.6489131315741895,16.341290502664634,0.1999438298060334,0.30159324992753417,TBpcf,Abundance_codon
44,0.36629741649211456,0.12334709149970335,0.6085264298118626,0.40027368392674806,0.14338138173589576,0.6388237574537472,15.590471742579147,0.19372995461854545,0.2796800023571422,TBpcf,Abundance_codon
